"","unitid","year","fips","student_faculty_ratio"
"939",148575,2018,17,9
"940",148584,2018,17,13
"941",148593,2018,17,5
"942",148627,2018,17,15
"943",148654,2018,17,12
"944",148672,2018,17,14
"945",148821,2018,17,15
"946",148876,2018,17,14
"947",148937,2018,17,18
"948",148955,2018,17,10
"949",148991,2018,17,17
"950",149028,2018,17,7
"951",149204,2018,17,6
"952",149222,2018,17,13
"953",149231,2018,17,17
"954",149310,2018,17,12
"955",149329,2018,17,13
"956",149365,2018,17,14
"957",149499,2018,17,8
"958",149505,2018,17,10
"959",149514,2018,17,14
"960",149532,2018,17,19
"961",149550,2018,17,8
"962",149639,2018,17,5
"963",149727,2018,17,22
"964",149763,2018,17,13
"965",149772,2018,17,13
"966",149781,2018,17,10
"967",149842,2018,17,19
"968",150048,2018,18,12
"969",150066,2018,18,10
"970",150136,2018,18,16
"971",150145,2018,18,12
"972",150163,2018,18,11
"973",150172,2018,18,8
"974",150251,2018,18,18
"975",150303,2018,18,9
"976",150400,2018,18,9
"977",150428,2018,18,10
"978",150437,2018,18,11
"979",150455,2018,18,10
"980",150534,2018,18,11
"981",150604,2018,18,11
"982",150668,2018,18,11
"983",150677,2018,18,19
"984",150756,2018,18,12
"985",150765,2018,18,16
"986",150774,2018,18,13
"987",150853,2018,18,15
"988",150941,2018,18,12
"989",150987,2018,18,16
"990",151102,2018,18,16
"991",151111,2018,18,15
"992",151263,2018,18,13
"993",151290,2018,18,16
"994",151306,2018,18,16
"995",151324,2018,18,20
"996",151333,2018,18,15
"997",151342,2018,18,13
"998",151351,2018,18,16
"999",151360,2018,18,14
"1000",151379,2018,18,14
"1001",151388,2018,18,15
"1002",151458,2018,18,21
"1003",151467,2018,18,19
"1004",151564,2018,18,10
"1005",151607,2018,18,10
"1006",151652,2018,18,18
"1007",151661,2018,18,26
"1008",151777,2018,18,15
"1009",151786,2018,18,13
"1010",151801,2018,18,13
"1011",151810,2018,18,17
"1012",151962,2018,18,10
"1013",152044,2018,26,20
"1014",152080,2018,18,10
"1015",152099,2018,18,12
"1016",152150,2018,18,13
"1017",152275,2018,18,21
"1018",152309,2018,18,9
"1019",152318,2018,18,11
"1020",152336,2018,18,10
"1021",152381,2018,18,7
"1022",152390,2018,18,9
"1023",152497,2018,18,6
"1024",152530,2018,18,12
"1025",152567,2018,18,15
"1026",152600,2018,18,11
"1027",152628,2018,18,8
"1028",152637,2018,18,22
"1029",152673,2018,18,10
"1030",152798,2018,19,9
"1031",152992,2018,19,11
"1032",153001,2018,19,8
"1033",153074,2018,19,8
"1034",153083,2018,19,13
"1035",153108,2018,19,11
"1036",153126,2018,19,8
"1037",153144,2018,19,11
"1038",153162,2018,19,12
"1039",153171,2018,19,2
"1040",153214,2018,19,19
"1041",153241,2018,19,4
"1042",153250,2018,19,14
"1043",153269,2018,19,10
"1044",153278,2018,19,13
"1045",153296,2018,19,19
"1046",153302,2018,19,8
"1047",153311,2018,19,19
"1048",153320,2018,19,14
"1049",153339,2018,19,7
"1050",153366,2018,19,14
"1051",153375,2018,19,12
"1052",153384,2018,19,9
"1053",153409,2018,19,20
"1054",153418,2018,19,20
"1055",153427,2018,19,10
"1056",153445,2018,19,18
"1057",153463,2018,19,8
"1058",153472,2018,19,14
"1059",153524,2018,19,17
"1060",153533,2018,19,15
